City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Wote,KE,64.26,light rain,-1.7808,37.6288,SAVANAH HOTEL
557,Morehead,US,71.35,overcast clouds,37.2711,-87.1764,CCI Express Inn
559,Tupiza,BO,68.92,broken clouds,-21.45,-65.7167,La Torre Hotel
560,Methoni,GR,60.66,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
561,Asfi,MA,65.23,broken clouds,32.2994,-9.2372,Hôtel Abda
563,Uniontown,US,50.99,overcast clouds,39.9001,-79.7164,Quality Inn & Suites
566,Camacha,PT,66.52,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
573,Maymyo,MM,53.11,few clouds,22.0333,96.4667,Tiger Hotel
574,Zhuhai,CN,56.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
575,Ialibu,PG,56.86,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
576,Seddon,AU,57.96,few clouds,-37.8068,144.8916,Footscray Motor Inn
581,Talcahuano,CL,64.08,clear sky,-36.7167,-73.1167,departamento comodo
590,Manzil Salim,TN,57.2,overcast clouds,35.8567,8.4765,mohamed ben khlil omri
591,Pacific Grove,US,50.43,overcast clouds,36.6177,-121.9166,Lovers Point Inn
605,Mosquera,CO,66.29,broken clouds,4.7059,-74.2302,Hotel SJ
629,Nelson Bay,AU,68.0,light rain,-32.7167,152.15,Mantra Nelson Bay
633,Rosetta,EG,58.82,broken clouds,31.4044,30.4164,Green Valley
634,Korem,ET,53.13,few clouds,12.5058,39.5228,Lakomeliza Hotel
638,Firminy,FR,52.3,overcast clouds,45.3873,4.2907,Hôtel de la Tour et Hôtel du Pole
640,Jalu,LY,58.17,overcast clouds,29.0331,21.5482,صاحبة الفخامة
644,Carbonia,IT,59.99,broken clouds,39.1672,8.5222,Lu 'Hotel
645,Gaya,IN,58.91,mist,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
646,Port Keats,AU,71.96,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
650,Mankera,PK,54.12,clear sky,31.3866,71.4407,Haider Wood Supplier
651,Moroto,UG,72.82,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
652,Huruta,ET,60.71,overcast clouds,8.15,39.35,Keneni Hotel
654,Fort Smith,US,71.87,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
658,Van Buren,US,71.85,clear sky,35.4368,-94.3483,Hampton Inn Van Buren
663,Carlsbad,US,56.46,broken clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
665,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
667,Tezu,IN,60.85,overcast clouds,27.9167,96.1667,Circuit House
671,Praia Da Vitoria,PT,68.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
673,Dicabisagan,PH,73.38,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
680,Amberley,US,68.31,broken clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
682,Amiens,FR,50.86,broken clouds,49.9,2.3,Grand Hôtel de l'Univers
684,San Miguel De Cauri,PE,63.27,overcast clouds,-10.1,-76.5833,San Miguel de Cauri
685,Kenscoff,HT,69.87,clear sky,18.4506,-72.2869,Auberzazage Sur La Montagne
687,Deoli,IN,63.54,overcast clouds,25.75,75.3833,HOTEL DWARKA PALACE
689,Chipinge,ZW,71.82,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
690,Saint-Junien,FR,54.54,light rain,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
691,Abu Dhabi,AE,71.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
694,Djambala,CG,69.31,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
702,Gorontalo,ID,74.82,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
704,Northam,GB,53.42,broken clouds,51.0333,-4.2167,Durrant House Hotel
707,Pisco,PE,72.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
719,Plouzane,FR,55.49,moderate rain,48.3833,-4.6167,Lymina
721,Asilah,MA,67.86,clear sky,35.465,-6.0348,Hotel Zelis
724,Broken Hill,AU,65.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
726,Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
727,Vila Franca Do Campo,PT,68.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
